slug,name,github-url
amuzil,Amuzil,https://github.com/amuzil
decap,Decap CMS,https://github.com/decaporg/decap-cms
peerbit,Peerbit,https://github.com/dao-xyz/peerbit
uncopied,uncopied,https://github.com/uncopied
csstree,CSSTree,https://github.com/csstree
femdevs,The FemDevs,https://github.com/femdevs
communicas,Communicas,https://github.com/Communicas-commons
borderland,The Borderland,https://github.com/theborderland
donut,DONUT,https://github.com/codeuino/Social-Platform-Donut
camvote,Cambridge Online Voting Consortium,https://github.com/camvote/
css-gg,css.gg,https://github.com/astrit/css.gg
sled,sled,https://github.com/spacejam/sled
gridt,Gridt,https://github.com/GridtNetwork
fluentvalidation,FluentValidation,https://github.com/FluentValidation/FluentValidation
spotimatch,SpotiMatch,https://github.com/spotimatch
vue-tables-2,Vue Tables 2,https://github.com/matfish2/vue-tables-2
worldimprovementlab,World Improvement Lab,https://github.com/worldimprovementlab
scidsg,Science & Design,https://github.com/scidsg
fosuniverse,Free Open Source Universe,https://github.com/fosuniverse
opennox,OpenNox,https://github.com/opennox/opennox
glpi-project,GLPI,https://github.com/glpi-project
php-service-bus,PHP Service Bus,https://github.com/php-service-bus/service-bus
hackdoor,HACKDOOR,https://github.com/hackdoor_io
hoaproject,Hoa Project,https://github.com/hoaproject
plyr,Plyr,https://github.com/sampotts/plyr
kstatemachine,KStateMachine,https://github.com/KStateMachine
lthn,Lethean VPN,https://github.com/letheanVPN
project-error,Project Error,https://github.com/project-error
raspbernetes,Raspbernetes,https://github.com/xUnholy/k8s-gitops
simply,Simply free theme for Ghost,https://github.com/godofredoninja/simply
organilab,Organilab,https://github.com/Solvosoft/organilab
nlpodyssey,NLP Odyssey,https://github.com/nlpodyssey
learnersblock,Learner's Block,https://github.com/learnersblock
playfulprogramming,Playful Programming,https://github.com/playfulprogramming/
libreav,LibreAV,https://github.com/projectmatris
noplasticapp,NoPlasticApp,https://github.com/worldpeacenow
the-katzenpost-software-project,The Katzenpost software project,https://github.com/katzenpost
ohmyform-sustainability,OhMyForm,https://github.com/ohmyform
nodebook,Node.js • Apprendre par la pratique,https://github.com/thom4parisot/nodebook
react-calendar,react-calendar,https://github.com/wojtekmaj/react-calendar
vue-django,vue-django,https://github.com/NdagiStanley/vue-django
coronatracker,CoronaTracker,https://github.com/COVID-19-electronic-health-system/Corona-tracker
pep8speaks,PEP 8 Speaks,https://github.com/OrkoHunter/pep8speaks
cassandre-tech,Cassandre Tech,https://github.com/cassandre-tech
ng-web-apis,Web APIs for Angular,https://github.com/ng-web-apis
rspamd_project,Rspamd,https://github.com/rspamd/rspamd
slideshowp2,slideshowp2's blog,https://github.com/mrdulin/blog
ronin-rb,Ronin,https://github.com/ronin-rb/
electerm,Electerm,https://github.com/electerm/electerm
skoice,Skoice,https://github.com/Skoice
jaeles-project,Jaeles Project,https://github.com/jaeles-project/jaeles
openmbee,OpenMBEE,https://github.com/Open-MBEE
educode,Educode asbl,https://github.com/EduCodeBe/educode.be
open-research-calendar,Open Research Calendar,https://github.com/openresearchcalendar/openresearchcalendar.github.io
contribkanban,ContribKanban,https://github.com/mglaman/contribkanban.com
sidekiq-batch,Sidekiq Batch,https://github.com/breamware
stacer,Stacer,https://github.com/oguzhaninan/Stacer
freedictionaryapi,Free Dictionary API,https://github.com/meetDeveloper
latinx-in-ai-research,LatinX in AI,https://github.com/latinxinai
farstar,React course for beginners to support Ukraine,https://github.com/Drag13/react-learning-coure-short
flutter-form-builder-ecosystem,Flutter Form Builder Ecosystem,https://github.com/flutter-form-builder-ecosystem
protoc-gen-ts,Protocol Buffers for Typescript,https://github.com/thesayyn
oapi-codegen,oapi-codegen,https://github.com/oapi-codegen
toybox,Toybox,https://github.com/landley/toybox
syspass,sysPass,https://github.com/nuxsmin/sysPass
wenyan-lang,wenyan-lang,https://github.com/wenyan-lang/wenyan
gridjs,Grid.js,https://github.com/grid-js/gridjs
intellij-elixir,IntellIJ Elixir,https://github.com/KronicDeth/intellij-elixir
material-table,material-table,https://github.com/mbrn/material-table
thulite,Thulite,https://github.com/thuliteio
ihateregex,i Hate Regex,https://github.com/geongeorge/i-hate-regex
aflpluspluseu,AFLplusplus - Europe,https://github.com/AFLplusplus
camelot,Camelot,https://github.com/camelot-dev/camelot
gapstyle,GapStyle,https://github.com/gaplo917/GapStyle
cloudcmd,cloudcmd,https://github.com/coderaiser/cloudcmd
clio,Clio,https://github.com/clio-lang
jest-puppeteer,jest-puppeteer,https://github.com/smooth-code/jest-puppeteer
wildgums-oss,WildGums,https://github.com/WildGums
twtxt,twtxt,https://github.com/buckket/twtxt
logchimp,Logchimp,https://github.com/logchimp
nestdotland,nest.land,https://github.com/nestdotland
consento,Consento,https://github.com/consento-org
ssh-action,SSH Action,https://github.com/appleboy
modular-admin,ModularAdmin,https://github.com/modularcode
ultroid,Ultroid,https://github.com/TeamUltroid
mdanalysis,MDAnalysis,https://github.com/MDAnalysis
tus-php,TusPHP,https://github.com/ankitpokhrel
snabbdom,Snabbdom,https://github.com/snabbdom
pisadev,pisa.dev,https://github.com/pisa-dev
koyuspace,koyu.space,https://github.com/koyuspace
oi-wiki,OI-wiki,https://github.com/24OI/OI-wiki
korge,korge,https://github.com/korlibs/korge
cadmium,Cadmium,https://github.com/watzon/cadmium
popschools,PopSchools.org,https://github.com/popschools
openms,OpenMS,https://github.com/openms
react-design-editor,React Design Editor,https://github.com/salgum1114/react-design-editor
sgkit,sgkit,https://github.com/pystatgen/sgkit
orangopus,Orangopus,https://github.com/Orangopus
enraged-rabbit-community,Enraged Rabbit Community,https://github.com/Enraged-Rabbit-Community/ERCF_v2/
albumentations,Albumentations,https://github.com/ternau
cglm,cglm,https://github.com/recp/cglm
drupalnj,Drupal NJ,https://github.com/drupalcampnj
heti,赫蹏,https://github.com/sivan/heti
bootscore,Bootscore,https://github.com/bootscore
fayettevillejs,fayetteville.js,https://github.com/fayettevillej
tone-row,Tone Row,https://github.com/tone-row
fritzing,Fritzing,https://github.com/fritzing/fritzing-app
termux-pacman,Termux Pacman,https://github.com/termux-pacman
utopia-project,Utopia Project,https://github.com/utopia-os/utopia-ui
pixi-viewport,pixi-viewport,https://github.com/davidfig/pixi-viewport
openelectioncompass,OpenElectionCompass,https://github.com/open-election-compass
tesseractjs,tesseract.js,https://github.com/naptha/tesseract.js
elm-france,Elm France,https://github.com/hackathon-elm-france
remix-pwa,Remix PWA,https://github.com/ShafSpecs
openstf,OpenSTF,https://github.com/openstf/stf
hoplon,hoplon,https://github.com/hoplon
renative,ReNative,https://github.com/pavjacko/renative
cpeditor,CP Editor,https://github.com/cpeditor
mewsfeed,MewsFeed,https://github.com/GeekGene/mewsfeed
select2,Select2,https://github.com/select2/select2
emojionearea,Emojionearea,https://github.com/mervick
profile-md,Profile.md,https://github.com/victorakaps/Profile.md
expand,eXpandFramework,https://github.com/eXpandFramework/eXpand
reactdevske,Reactjs Developer Community Kenya - (ReactDevsKe),https://github.com/reactdeveloperske
codebar,codebar,https://github.com/codebar
sfml,SFML,https://github.com/SFML/SFML
flawtech,Flaw Tech,https://github.com/FlawTechOfficial
robotcode,RobotCode,https://github.com/robotcodedev
ng-matero,ng-matero,https://github.com/ng-matero/ng-matero
hatsh,Hat.sh,https://github.com/sh-dv
roc-streaming,Roc Streaming,https://github.com/roc-streaming
ngx-scrollbar,Angular Custom Scrollbar,https://github.com/MurhafSousli/ngx-scrollbar
ash-framework,Ash Framework,https://github.com/ash-project
geomstats,Geomstats,https://github.com/geomtats/geomstats
zws,Zero Width Shortener,https://github.com/zws-im
leafletglify,Leaflet.glify,https://github.com/robertleeplummerjr/Leaflet.glify
usereact,useReact,https://github.com/useReactNYC
deep-cover,deep-cover,https://github.com/deep-cover/deep-cover
selfhostedpro,SelfhostedPro,https://github.com/SelfhostedPro
lukehaas,Luke Haas,https://github.com/lukehaas
powernukkit,PowerNukkit,https://github.com/PowerNukkit
pikepdf,pikepdf,https://github.com/pikepdf/pikepdf
bodymovin-extension,Bodymovin Extension,https://github.com/bodymovin
aspnetcore-developer-roadmap,ASP.NET Core Developer Roadmap,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
cantera,Cantera,https://github.com/cantera/cantera
extenject,Extenject,https://github.com/svermeulen/extenject
moduleart,ModuleArt,https://github.com/ModuleArt
bowser,bowser,https://github.com/lancedikson/bowser
dbdp,Digital Biomarker Discovery Pipeline,https://github.com/DigitalBiomarkerDiscoveryPipeline
roblox-ts,roblox-ts,https://www.github.com/roblox-ts
talawa,Talawa,https://github.com/PalisadoesFoundation
formily,formily,https://github.com/alibaba/formily
deck-of-cards,Deck of Cards,https://github.com/deck-of-cards
babycastles,Babycastles,https://github.com/babycastles
countries-states-cities,Countries States Cities Database,https://github.com/dr5hn
discordanalytics,Discord Analytics,https://github.com/DiscordAnalytics
inure,Inure App Manager,https://github.com/Hamza417/Inure
jsstore,JsStore,https://github.com/ujjwalguptaofficial/JsStore
edgecollective,Edge Collective,https://github.com/edgecollective
linux-wifi-hotspot,Linux Wifi Hotspot,https://github.com/lakinduakash
supabase-php,PHP Client Libraries,https://github.com/supabase
divine-arts,Divine Arts,https://github.com/Bxndoben1
alovoa,Alovoa,https://github.com/Alovoa/alovoa
wangeditor,wangEditor,https://github.com/wangeditor-team/wangEditor
stump,Stump,https://github.com/aaronleopold/stump
npms,npms,https://github.com/npms-io
presentator,Presentator,https://github.com/presentator/presentator
gaz,Groundhog Autonomous Zone,https://github.com/gaz561
openprivacytech,OpenPrivacyTech,https://github.com/openprivacytech
sauron,Sauron,https://github.com/ivanceras
playnet,playnet,https://github.com/semioverse
buskill,BusKill,https://github.com/buskill
onelang,One,https://github.com/One-Language
rtklib-demo5,RTKLIB - demo5,https://github.com/rtklibexplorer/RTKLIB
berrysauce,berrysauce,https://github.com/berrysauce
cocash,Co-Cash,https://github.com/co-cash
liveg,LiveG Technologies,https://github.com/LiveGTech
libplacebo,libplacebo,https://github.com/haasn/libplacebo
reia,Reia,https://github.com/Quaint-Studios/Reia
virustotalapi,VirusTotalApi,https://github.com/doomedraven
beacon-community-network,Beacon Community Network,https://github.com/beaconny-net
kriasoft,Kriasoft,https://github.com/kriasoft
node-ignore,Node gitignore Parser,https://github.com/kaelzhang
olivier-binette-collective,Olivier Binette,https://github.com/OlivierBinette
314-education,314-education,https://github.com/314-education
doocs-leetcode,leetcode,https://github.com/doocs/leetcode
esp-rfid,esp-rfid,https://github.com/esprfid/esp-rfid
react-date-picker,react-date-picker,https://github.com/wojtekmaj/react-date-picker
bioicons,Bioicons,https://github.com/duerrsimon/bioicons
drill,Drill,https://github.com/yatima1460/Drill
ascend-collective,ascend collective,https://github.com/ascend-collective
mongodb-memory-server,Mongodb Memory Server,https://github.com/nodkz/mongodb-memory-server
qruto,Qruto,https://github.com/qruto
openphl,OpenPHL,https://github.com/OpenPHL
scalamonocle,Monocle,https://github.com/optics-dev
psake,psake,https://github.com/psake/psake
lucialand,Aiden Bai,https://github.com/aidenybai/lucia
androidlocalizeplugin,AndroidLocalizePlugin,https://github.com/Airsaid/AndroidLocalizePlugin
django-restql,Django RESTQL,https://github.com/yezyilomo/django-retql
bundle,bundlejs,https://github.com/okikio/bundlejs
oscsa,Open Science Community Saudi Arabia,https://github.com/Open-Science-Community-Saudi-Arabia
onedark-pro,OneDark-Pro,https://github.com/Binaryify/OneDark-Pro
kendraio,Kendraio,https://github.com/kendraio
techup,TechUp,https://github.com/TheIOFoundation/TechUp
haywirehill,Haywire Hill,https://github.com/UncleBecky
cezerin2,Cezerin2,https://github.com/Cezerin2
pyparsing,Pyparsing,https://github.com/pyparsing/pyparsing
harmonica,Harmonica,https://github.com/harmonicabot
botamusique,Botamusique,https://github.com/azlux/botamusique
risk-of-rain-2-modding,Risk of Thunder,https://github.com/risk-of-thunder/
vue-functional-calendar,Vue Functional Calendar,https://github.com/ManukMinasyan/vue-functional-calendar
confuserex,ConfuserEx,https://github.com/mkaring/ConfuserEx
voukoder,Voukoder,https://github.com/Vouk/voukoder
joda,joda,https://github.com/JodaOrg
cert-manager,cert-manager,https://github.com/cert-manager
projectsakura,ProjectSakura,https://github.com/ProjectSakura
octobercms,OctoberCMS,https://github.com/octobercms/october
goodwork,goodwork,https://github.com/iluminar/goodwork
restsharp,RestSharp,https://github.com/restsharp/RestSharp
zarr,Zarr,https://github.com/zarr-developer
efqrcode,EFQRCode,https://github.com/EFPrefix/EFQRCode
dragonetmc,Dragonet Foundation,https://github.com/DragonetMC
spotmenu,SpotMenu,https://github.com/kmikiy/SpotMenu
birthdayresearch,Birthday Research,https://github.com/BirthdayResearch
spaceship-prompt,Spaceship,https://github.com/spaceship-prompt
libhydrogen,libhydrogen,https://github.com/jedisct1/libhydrogen
react-native-haptic-feedback,React Native Haptic Feedback,https://github.com/junina-de
broadband-institute,Broadband Institute General Fund,https://github.com/drronsuarez/openvoterdata
caesonia,caesonia,https://github.com/vedetta-com/caeonia
devlopr-jekyll,Devlopr Jekyll,https://github.com/sujaykundu777/devlopr-jekyll
sweet-alert,SweetAlert2,https://github.com/realrashid/sweet-alert
guiscrcpy,guiscrcpy,https://github.com/srevinsaju/guiscrcpy
flyimg,Flyimg,https://github.com/flyimg/flyimg
delight-dev,Delight,https://github.com/delight-dev
indigenamarket,Indigenamarket,https://github.com/Indi-Labs
knowlo,Knowlo,https://github.com/bornytm/knowlo-library
vite-electron-builder,Vite Electron Builder,https://github.com/cawa-93/vite-electron-builder
openrpc,OpenRPC,https://github.com/open-rpc
council-data-project,Council Data Project,https://github.com/CouncilDataProject
laravel-mongodb,jenssegers/laravel-mongodb,https://github.com/jenssegers/laravel-mongodb
node-argon2,Argon2 for Node.js,https://github.com/ranisalt/node-argon2
teamo1,Teamo,https://github.com/TheWaterboy/Teamo
anndatar,anndataR,https://github.com/scverse/anndataR
bluez,BlueZ,https://github.com/bluez/
mllaunchpad,ML Launchpad,https://github.com/schuderer/mllaunchpad
circuitverse,CircuitVerse,https://github.com/CircuitVerse
jsts,JSTS,https://github.com/bjornharrtell/jsts
tiptap,Tiptap,https://github.com/ueberdosis
scanapi,ScanAPI,https://github.com/scanapi
azerothcore,AzerothCore,https://github.com/azerothcore
python-sortedcontainers,Python Sorted Containers,https://github.com/grantjenks/python-sortedcontainers
openmaine,OpenMaine,https://github.com/openmaine
laeran,Laeran,https://github.com/thindil
literateink,LiterateInk,https://github.com/LiterateInk
setup-php,Setup PHP,https://github.com/shivammathur/setup-php
formatjs,FormatJS,https://github.com/formatjs
