slug,name,twitter-url
solidarity-economy-association,Solidarity Economy Association,https://twitter.com/SolidarityEcon
bevry,Bevry,https://twitter.com/BevryMe
decap,Decap CMS,https://twitter.com/Decap_CMS
peerbit,Peerbit,https://twitter.com/daoxyzdao
uncopied,uncopied,https://twitter.com/uncopied_art
csstree,CSSTree,https://twitter.com/csstree
donut,DONUT,https://twitter.com/codeuino
sled,sled,https://twitter.com/sadisticsystems
fluentvalidation,FluentValidation,https://twitter.com/JeremySkinner
lpwp,Covid19 Lusophone Mutual Aid Grupo Lusofono De Entreajuda,https://twitter.com/LPWPartnership
worldimprovementlab,World Improvement Lab,https://twitter.com/WorldImpLab
ignore,.ignore,https://twitter.com/hszanowski
fosuniverse,Free Open Source Universe,https://twitter.com/fosuniverse
pcbasement,Pilsen Community Basement,https://twitter.com/PCBasement
glpi-project,GLPI,https://twitter.com/GLPI_PROJECT
makersgdl,MakersGDL,https://twitter.com/Makers_GDL
value-flows,Enlivening Value Flows,https://twitter.com/technoshaman
hackdoor,HACKDOOR,https://twitter.com/hackdoor_io
hoaproject,Hoa Project,https://twitter.com/hoaproject
lthn,Lethean VPN,https://twitter.com/LetheanVPN
project-error,Project Error,https://twitter.com/_ProjectError
communityclimatecentre,Plymouth Community Climate Centre,https://twitter.com/CoClimateCentre
simply,Simply free theme for Ghost,https://twitter.com/GodoFredoNinja
alexandra-design,Oleksandra Yuryk,https://twitter.com/alexa_stok
playfulprogramming,Playful Programming,https://twitter.com/unicornUttrncs/
libreav,LibreAV,https://twitter.com/projectmatris
staycodingmx,stayCoding,https://twitter.com/staycodingmx
noplasticapp,NoPlasticApp,https://twitter.com/noplasticapp
scverse,scverse,https://twitter.com/scverse_team
ohmyform-sustainability,OhMyForm,https://twitter.com/ohmyform
rxc-france,RadicalxChange France,https://x.com/RadxChangeParis?s=20
coronatracker,CoronaTracker,https://twitter.com/CoronaTrackApp
pep8speaks,PEP 8 Speaks,https://twitter.com/OrkoHunter
cassandre-tech,Cassandre Tech,https://twitter.com/CassandreTech
rspamd_project,Rspamd,https://twitter.com/rspamd
ronin-rb,Ronin,https://twitter.com/ronin_rb
jaeles-project,Jaeles Project,https://twitter.com/j3ssiejjj
openmbee,OpenMBEE,https://twitter.com/OpenMBEE
educode,Educode asbl,https://twitter.com/npettiaux
open-research-calendar,Open Research Calendar,https://twitter.com/openresearchcal
contribkanban,ContribKanban,https://twitter.com/ContribKanban
primal-lust-cooperative,Primal Lust Co-Op,https://twitter.com/primallust_coop
sidekiq-batch,Sidekiq Batch,https://twitter.com/marcinnaglik
gwes-ern,GWES EAS Relay Network,https://twitter.com/GWESEAS
stacer,Stacer,https://twitter.com/oguzaninan
dataphilly,DataPhilly,https://twitter.com/DataPhilly
